"","company","model","old","fuel","km","price"
"89","기아","K5 2세대 1.7 디젤 SX  프레스티지",46,"디젤",30000,1599
"90","기아","K5 2.0  프레스티지",109,"가솔린",120000,510
"91","기아","더 뉴 K5 2.0 럭셔리",78,"가솔린",40000,880
"92","기아","더 뉴 K5 터보 노블레스",80,"가솔린",120000,1190
"93","기아","K5 2.0 LPi 프레스티지",94,"LPG",170000,560
"94","기아","K5 2.0 LPi 프레스티지",114,"LPG",60000,690
"95","기아","K5 하이브리드 럭셔리",105,"가솔린+전기",160000,790
"96","기아","더 뉴 K5 2.0 트렌디",76,"가솔린",80000,1130
"97","기아","K5 2세대 1.7 디젤 MX 프레스티지",53,"디젤",80000,899
"98","기아","K5 2.0  프레스티지",112,"가솔린",140000,650
"99","기아","K5 2.0 스마트",89,"가솔린",120000,480
"100","기아","K5 2세대 LPI SX 럭셔리",45,"LPG",50000,1080
"101","기아","더 뉴 K5 2세대 2.0 가솔린  인텔리전트",22,"가솔린",10000,2530
"102","기아","K5 2세대 1.7 디젤 SX 노블레스",50,"디젤",40000,1750
"103","기아","더 뉴 K5 2.0 LPi 프레스티지",77,"LPG",80000,720
"104","기아","더 뉴 K5 2.0  디럭스",76,"가솔린",80000,880
"105","기아","더 뉴 K5 2.0 프레스티지",74,"가솔린",130000,1080
"106","기아","더 뉴 K5 2.0 LPi 디럭스",56,"LPG",40000,910
"107","기아","K5 2.0 LPi 프레스티지",100,"LPG",70000,450
"108","기아","K5 2세대 2.0 가솔린 SX  노블레스",44,"가솔린",70000,1690
"109","기아","더 뉴 K5 2.0 LPi 프레스티지",79,"LPG",120000,990
"110","기아","K5 2.0  프레스티지",116,"가솔린",170000,470
"111","기아","더 뉴 K5 2세대 2.0 가솔린  프레스티지",19,"가솔린",20000,1970
"112","기아","K5 2세대 1.7 디젤 MX  프레스티지",47,"디젤",60000,1280
"113","기아","더 뉴 K5 2세대 2.0 LPI 프레스티지",22,"LPG",60000,1680
"114","기아","더 뉴 K5  2.0 프레스티지",63,"가솔린",70000,1330
